# Bad IDs, reason
R00003, invalid
R00007, invalid
R00016, invalid
R00020, invalid
R00030, invalid
R00035, invalid
R00037, invalid
R00040, invalid
R00046, invalid
R00050, invalid
R00051, invalid
R00064, invalid
R00065, invalid
R00071, invalid
R00079, invalid
R00096, invalid
R00098, invalid
R00107, invalid
R00110, invalid
R00116, invalid
R00117, invalid
R00121, invalid
R00133, invalid
R00136, invalid
R00142, invalid
R00144, invalid
R00147, invalid
R00151, invalid
R00154, invalid
R00163, invalid
R00171, invalid
R00175, invalid
R00176, invalid
R00180, invalid
R00186, invalid
R00201, invalid
R00202, invalid
R00204, invalid
R00222, invalid
R00225, invalid
R00231, invalid
R00232, invalid
R00234, invalid
R00240, invalid
R00241, invalid
R00242, invalid
R00244, invalid
R00246, invalid
R00247, invalid
R00249, invalid
R00252, invalid
R00255, invalid
R00266, invalid
R00276, invalid
R00281, invalid
R00285, invalid
R00288, invalid
R00290, invalid
R00296, invalid
R00309, invalid
R00323, invalid
R00349, invalid
R00356, invalid
R00358, invalid
R00370, invalid
R00386, invalid
R00403, invalid
R00404, invalid
R00413, invalid
R00415, invalid
R00419, invalid
R00427, invalid
R00433, invalid
R00450, invalid
R00455, invalid
R00456, invalid
R00464, invalid
R00467, invalid
R00492, invalid
R00495, invalid
R00496, invalid
R00498, invalid
R00500, invalid
R00516, invalid
R00520, invalid
R00523, invalid
R00541, invalid
R00553, invalid
R00556, invalid
R00560, invalid
R00561, invalid
R00564, invalid
R00568, invalid
R00580, invalid
R00583, invalid
R00587, invalid
R00591, invalid
R00592, invalid
R00593, invalid
R00607, invalid
R00613, invalid
R00620, invalid
R00622, invalid
R00632, invalid
R00633, invalid
R00641, invalid
R00642, invalid
R00663, invalid
R00680, invalid
R00687, invalid
R00696, invalid
R00701, invalid
R00712, invalid
R00718, invalid
R00721, invalid
R00738, invalid
R00741, invalid
R00745, invalid
R00752, invalid
R00757, invalid
R00759, invalid
R00773, invalid
R00779, invalid
R00780, invalid
R00781, invalid
R00786, invalid
R00788, invalid
R00795, invalid
R00797, invalid
R00819, invalid
R00820, invalid
R00824, invalid
R00826, invalid
R00831, invalid
R00840, invalid
R00843, invalid
R00852, invalid
R00862, invalid
R00869, invalid
R00882, invalid
R00884, invalid
R00886, invalid
R00898, invalid
R00902, invalid
R00924, invalid
R00929, invalid
R00933, invalid
R00938, invalid
R00950, invalid
R00958, invalid
R00962, invalid
R00967, invalid
R00970, invalid
R00971, invalid
R00972, invalid
R00979, invalid
R00981, invalid
R00992, invalid
R01002, invalid
R01017, invalid
R01020, invalid
R01024, invalid
R01035, invalid
R01037, invalid
R01038, invalid
R01040, invalid
R01042, invalid
R01046, invalid
R01048, invalid
R01060, invalid
R01062, invalid
R01065, invalid
R01076, invalid
R01084, invalid
R01102, invalid
R01107, invalid
R01112, invalid
R01114, invalid
R01116, invalid
R01118, invalid
R01124, invalid
R01125, invalid
R01129, invalid
R01133, invalid
R01136, invalid
R01141, invalid
R01162, invalid
R01165, invalid
R01170, invalid
R01182, invalid
R01191, invalid
R01198, invalid
R01208, invalid
R01219, invalid
R01222, invalid
R01223, invalid
R01247, invalid
R01250, invalid
R01254, invalid
R01272, invalid
R01275, invalid
R01276, invalid
R01284, invalid
R01285, invalid
R01311, invalid
R01345, invalid
R01356, invalid
R01362, invalid
R01363, invalid
R01379, invalid
R01380, invalid
R01382, invalid
R01389, invalid
R01391, invalid
R01405, invalid
R01428, invalid
R01435, invalid
R01436, invalid
R01438, invalid
R01439, invalid
R01455, invalid
R01458, invalid
R01464, invalid
R01475, invalid
R01477, invalid
R01479, invalid
R01499, invalid
R01501, invalid
R01502, invalid
R01509, invalid
R01510, invalid
R01527, invalid
R01531, invalid
R01534, invalid
R01536, invalid
R01539, invalid
R01545, invalid
R01546, invalid
R01548, invalid
R01549, invalid
